,date,value
0,2023-12-01,306.746
1,2023-11-01,307.051
2,2023-10-01,307.671
3,2023-09-01,307.789
4,2023-08-01,307.026
5,2023-07-01,305.691
6,2023-06-01,305.109
7,2023-05-01,304.127
8,2023-04-01,303.363
9,2023-03-01,301.836
10,2023-02-01,300.84
11,2023-01-01,299.17
12,2022-12-01,296.797
13,2022-11-01,297.711
14,2022-10-01,298.012
15,2022-09-01,296.808
16,2022-08-01,296.171
17,2022-07-01,296.276
18,2022-06-01,296.311
19,2022-05-01,292.296
20,2022-04-01,289.109
21,2022-03-01,287.504
22,2022-02-01,283.716
23,2022-01-01,281.148
24,2021-12-01,278.802
25,2021-11-01,277.948
26,2021-10-01,276.589
27,2021-09-01,274.31
28,2021-08-01,273.567
29,2021-07-01,273.003
30,2021-06-01,271.696
31,2021-05-01,269.195
32,2021-04-01,267.054
33,2021-03-01,264.877
34,2021-02-01,263.014
35,2021-01-01,261.582
36,2020-12-01,260.474
37,2020-11-01,260.229
38,2020-10-01,260.388
39,2020-09-01,260.28
40,2020-08-01,259.918
41,2020-07-01,259.101
42,2020-06-01,257.797
43,2020-05-01,256.394
44,2020-04-01,256.389
45,2020-03-01,258.115
46,2020-02-01,258.678
47,2020-01-01,257.971
48,2019-12-01,256.974
49,2019-11-01,257.208
50,2019-10-01,257.346
51,2019-09-01,256.759
52,2019-08-01,256.558
53,2019-07-01,256.571
54,2019-06-01,256.143
55,2019-05-01,256.092
56,2019-04-01,255.548
57,2019-03-01,254.202
58,2019-02-01,252.776
59,2019-01-01,251.712
60,2018-12-01,251.233
61,2018-11-01,252.038
62,2018-10-01,252.885
63,2018-09-01,252.439
64,2018-08-01,252.146
65,2018-07-01,252.006
66,2018-06-01,251.989
67,2018-05-01,251.588
68,2018-04-01,250.546
69,2018-03-01,249.554
70,2018-02-01,248.991
71,2018-01-01,247.867
72,2017-12-01,246.524
73,2017-11-01,246.669
74,2017-10-01,246.663
75,2017-09-01,246.819
76,2017-08-01,245.519
77,2017-07-01,244.786
78,2017-06-01,244.955
79,2017-05-01,244.733
80,2017-04-01,244.524
81,2017-03-01,243.801
82,2017-02-01,243.603
83,2017-01-01,242.839
84,2016-12-01,241.432
85,2016-11-01,241.353
86,2016-10-01,241.729
87,2016-09-01,241.428
88,2016-08-01,240.849
89,2016-07-01,240.628
90,2016-06-01,241.018
91,2016-05-01,240.229
92,2016-04-01,239.261
93,2016-03-01,238.132
94,2016-02-01,237.111
95,2016-01-01,236.916
96,2015-12-01,236.525
97,2015-11-01,237.336
98,2015-10-01,237.838
99,2015-09-01,237.945
100,2015-08-01,238.316
101,2015-07-01,238.654
102,2015-06-01,238.638
103,2015-05-01,237.805
104,2015-04-01,236.599
105,2015-03-01,236.119
106,2015-02-01,234.722
107,2015-01-01,233.707
108,2014-12-01,234.812
109,2014-11-01,236.151
110,2014-10-01,237.433
111,2014-09-01,238.031
112,2014-08-01,237.852
113,2014-07-01,238.25
114,2014-06-01,238.343
115,2014-05-01,237.9
116,2014-04-01,237.072
117,2014-03-01,236.293
118,2014-02-01,234.781
119,2014-01-01,233.916
120,2013-12-01,233.049
121,2013-11-01,233.069
122,2013-10-01,233.546
123,2013-09-01,234.149
124,2013-08-01,233.877
125,2013-07-01,233.596
126,2013-06-01,233.504
127,2013-05-01,232.945
128,2013-04-01,232.531
129,2013-03-01,232.773
130,2013-02-01,232.166
131,2013-01-01,230.28
132,2012-12-01,229.601
133,2012-11-01,230.221
134,2012-10-01,231.317
135,2012-09-01,231.407
136,2012-08-01,230.379
137,2012-07-01,229.104
138,2012-06-01,229.478
139,2012-05-01,229.815
140,2012-04-01,230.085
141,2012-03-01,229.392
142,2012-02-01,227.663
143,2012-01-01,226.665
144,2011-12-01,225.672
145,2011-11-01,226.23
146,2011-10-01,226.421
147,2011-09-01,226.889
148,2011-08-01,226.545
149,2011-07-01,225.922
150,2011-06-01,225.722
151,2011-05-01,225.964
152,2011-04-01,224.906
153,2011-03-01,223.467
154,2011-02-01,221.309
155,2011-01-01,220.223
156,2010-12-01,219.179
157,2010-11-01,218.803
158,2010-10-01,218.711
