,date,cpi_value,cpi_year,cpi_month
0,2024-01-01 00:00:00.000000,308.417,2024,01
1,2023-12-01 00:00:00.000000,306.746,2023,12
2,2023-11-01 00:00:00.000000,307.051,2023,11
3,2023-10-01 00:00:00.000000,307.671,2023,10
4,2023-09-01 00:00:00.000000,307.789,2023,09
5,2023-08-01 00:00:00.000000,307.026,2023,08
6,2023-07-01 00:00:00.000000,305.691,2023,07
7,2023-06-01 00:00:00.000000,305.109,2023,06
8,2023-05-01 00:00:00.000000,304.127,2023,05
9,2023-04-01 00:00:00.000000,303.363,2023,04
10,2023-03-01 00:00:00.000000,301.836,2023,03
11,2023-02-01 00:00:00.000000,300.84,2023,02
12,2023-01-01 00:00:00.000000,299.17,2023,01
13,2022-12-01 00:00:00.000000,296.797,2022,12
14,2022-11-01 00:00:00.000000,297.711,2022,11
15,2022-10-01 00:00:00.000000,298.012,2022,10
16,2022-09-01 00:00:00.000000,296.808,2022,09
17,2022-08-01 00:00:00.000000,296.171,2022,08
18,2022-07-01 00:00:00.000000,296.276,2022,07
19,2022-06-01 00:00:00.000000,296.311,2022,06
20,2022-05-01 00:00:00.000000,292.296,2022,05
21,2022-04-01 00:00:00.000000,289.109,2022,04
22,2022-03-01 00:00:00.000000,287.504,2022,03
23,2022-02-01 00:00:00.000000,283.716,2022,02
24,2022-01-01 00:00:00.000000,281.148,2022,01
25,2021-12-01 00:00:00.000000,278.802,2021,12
26,2021-11-01 00:00:00.000000,277.948,2021,11
27,2021-10-01 00:00:00.000000,276.589,2021,10
28,2021-09-01 00:00:00.000000,274.31,2021,09
29,2021-08-01 00:00:00.000000,273.567,2021,08
30,2021-07-01 00:00:00.000000,273.003,2021,07
31,2021-06-01 00:00:00.000000,271.696,2021,06
32,2021-05-01 00:00:00.000000,269.195,2021,05
33,2021-04-01 00:00:00.000000,267.054,2021,04
34,2021-03-01 00:00:00.000000,264.877,2021,03
35,2021-02-01 00:00:00.000000,263.014,2021,02
36,2021-01-01 00:00:00.000000,261.582,2021,01
37,2020-12-01 00:00:00.000000,260.474,2020,12
38,2020-11-01 00:00:00.000000,260.229,2020,11
39,2020-10-01 00:00:00.000000,260.388,2020,10
40,2020-09-01 00:00:00.000000,260.28,2020,09
41,2020-08-01 00:00:00.000000,259.918,2020,08
42,2020-07-01 00:00:00.000000,259.101,2020,07
43,2020-06-01 00:00:00.000000,257.797,2020,06
44,2020-05-01 00:00:00.000000,256.394,2020,05
45,2020-04-01 00:00:00.000000,256.389,2020,04
46,2020-03-01 00:00:00.000000,258.115,2020,03
47,2020-02-01 00:00:00.000000,258.678,2020,02
48,2020-01-01 00:00:00.000000,257.971,2020,01
49,2019-12-01 00:00:00.000000,256.974,2019,12
50,2019-11-01 00:00:00.000000,257.208,2019,11
51,2019-10-01 00:00:00.000000,257.346,2019,10
52,2019-09-01 00:00:00.000000,256.759,2019,09
53,2019-08-01 00:00:00.000000,256.558,2019,08
54,2019-07-01 00:00:00.000000,256.571,2019,07
55,2019-06-01 00:00:00.000000,256.143,2019,06
56,2019-05-01 00:00:00.000000,256.092,2019,05
57,2019-04-01 00:00:00.000000,255.548,2019,04
58,2019-03-01 00:00:00.000000,254.202,2019,03
59,2019-02-01 00:00:00.000000,252.776,2019,02
60,2019-01-01 00:00:00.000000,251.712,2019,01
61,2018-12-01 00:00:00.000000,251.233,2018,12
62,2018-11-01 00:00:00.000000,252.038,2018,11
63,2018-10-01 00:00:00.000000,252.885,2018,10
64,2018-09-01 00:00:00.000000,252.439,2018,09
65,2018-08-01 00:00:00.000000,252.146,2018,08
66,2018-07-01 00:00:00.000000,252.006,2018,07
67,2018-06-01 00:00:00.000000,251.989,2018,06
68,2018-05-01 00:00:00.000000,251.588,2018,05
69,2018-04-01 00:00:00.000000,250.546,2018,04
70,2018-03-01 00:00:00.000000,249.554,2018,03
71,2018-02-01 00:00:00.000000,248.991,2018,02
72,2018-01-01 00:00:00.000000,247.867,2018,01
73,2017-12-01 00:00:00.000000,246.524,2017,12
74,2017-11-01 00:00:00.000000,246.669,2017,11
75,2017-10-01 00:00:00.000000,246.663,2017,10
76,2017-09-01 00:00:00.000000,246.819,2017,09
77,2017-08-01 00:00:00.000000,245.519,2017,08
78,2017-07-01 00:00:00.000000,244.786,2017,07
79,2017-06-01 00:00:00.000000,244.955,2017,06
80,2017-05-01 00:00:00.000000,244.733,2017,05
81,2017-04-01 00:00:00.000000,244.524,2017,04
82,2017-03-01 00:00:00.000000,243.801,2017,03
83,2017-02-01 00:00:00.000000,243.603,2017,02
84,2017-01-01 00:00:00.000000,242.839,2017,01
85,2016-12-01 00:00:00.000000,241.432,2016,12
86,2016-11-01 00:00:00.000000,241.353,2016,11
87,2016-10-01 00:00:00.000000,241.729,2016,10
88,2016-09-01 00:00:00.000000,241.428,2016,09
89,2016-08-01 00:00:00.000000,240.849,2016,08
90,2016-07-01 00:00:00.000000,240.628,2016,07
91,2016-06-01 00:00:00.000000,241.018,2016,06
92,2016-05-01 00:00:00.000000,240.229,2016,05
93,2016-04-01 00:00:00.000000,239.261,2016,04
94,2016-03-01 00:00:00.000000,238.132,2016,03
95,2016-02-01 00:00:00.000000,237.111,2016,02
96,2016-01-01 00:00:00.000000,236.916,2016,01
97,2015-12-01 00:00:00.000000,236.525,2015,12
98,2015-11-01 00:00:00.000000,237.336,2015,11
99,2015-10-01 00:00:00.000000,237.838,2015,10
100,2015-09-01 00:00:00.000000,237.945,2015,09
101,2015-08-01 00:00:00.000000,238.316,2015,08
102,2015-07-01 00:00:00.000000,238.654,2015,07
103,2015-06-01 00:00:00.000000,238.638,2015,06
104,2015-05-01 00:00:00.000000,237.805,2015,05
105,2015-04-01 00:00:00.000000,236.599,2015,04
106,2015-03-01 00:00:00.000000,236.119,2015,03
107,2015-02-01 00:00:00.000000,234.722,2015,02
108,2015-01-01 00:00:00.000000,233.707,2015,01
109,2014-12-01 00:00:00.000000,234.812,2014,12
110,2014-11-01 00:00:00.000000,236.151,2014,11
111,2014-10-01 00:00:00.000000,237.433,2014,10
112,2014-09-01 00:00:00.000000,238.031,2014,09
113,2014-08-01 00:00:00.000000,237.852,2014,08
114,2014-07-01 00:00:00.000000,238.25,2014,07
115,2014-06-01 00:00:00.000000,238.343,2014,06
116,2014-05-01 00:00:00.000000,237.9,2014,05
117,2014-04-01 00:00:00.000000,237.072,2014,04
118,2014-03-01 00:00:00.000000,236.293,2014,03
119,2014-02-01 00:00:00.000000,234.781,2014,02
120,2014-01-01 00:00:00.000000,233.916,2014,01
121,2013-12-01 00:00:00.000000,233.049,2013,12
122,2013-11-01 00:00:00.000000,233.069,2013,11
123,2013-10-01 00:00:00.000000,233.546,2013,10
124,2013-09-01 00:00:00.000000,234.149,2013,09
125,2013-08-01 00:00:00.000000,233.877,2013,08
126,2013-07-01 00:00:00.000000,233.596,2013,07
127,2013-06-01 00:00:00.000000,233.504,2013,06
128,2013-05-01 00:00:00.000000,232.945,2013,05
129,2013-04-01 00:00:00.000000,232.531,2013,04
130,2013-03-01 00:00:00.000000,232.773,2013,03
131,2013-02-01 00:00:00.000000,232.166,2013,02
132,2013-01-01 00:00:00.000000,230.28,2013,01
133,2012-12-01 00:00:00.000000,229.601,2012,12
134,2012-11-01 00:00:00.000000,230.221,2012,11
135,2012-10-01 00:00:00.000000,231.317,2012,10
136,2012-09-01 00:00:00.000000,231.407,2012,09
137,2012-08-01 00:00:00.000000,230.379,2012,08
138,2012-07-01 00:00:00.000000,229.104,2012,07
139,2012-06-01 00:00:00.000000,229.478,2012,06
140,2012-05-01 00:00:00.000000,229.815,2012,05
141,2012-04-01 00:00:00.000000,230.085,2012,04
142,2012-03-01 00:00:00.000000,229.392,2012,03
143,2012-02-01 00:00:00.000000,227.663,2012,02
144,2012-01-01 00:00:00.000000,226.665,2012,01
145,2011-12-01 00:00:00.000000,225.672,2011,12
146,2011-11-01 00:00:00.000000,226.23,2011,11
147,2011-10-01 00:00:00.000000,226.421,2011,10
148,2011-09-01 00:00:00.000000,226.889,2011,09
149,2011-08-01 00:00:00.000000,226.545,2011,08
150,2011-07-01 00:00:00.000000,225.922,2011,07
151,2011-06-01 00:00:00.000000,225.722,2011,06
152,2011-05-01 00:00:00.000000,225.964,2011,05
153,2011-04-01 00:00:00.000000,224.906,2011,04
154,2011-03-01 00:00:00.000000,223.467,2011,03
155,2011-02-01 00:00:00.000000,221.309,2011,02
156,2011-01-01 00:00:00.000000,220.223,2011,01
157,2010-12-01 00:00:00.000000,219.179,2010,12
158,2010-11-01 00:00:00.000000,218.803,2010,11
159,2010-10-01 00:00:00.000000,218.711,2010,10
160,2010-09-01 00:00:00.000000,218.439,2010,09
161,2010-08-01 00:00:00.000000,218.312,2010,08
162,2010-07-01 00:00:00.000000,218.011,2010,07
163,2010-06-01 00:00:00.000000,217.965,2010,06
