,date,dur_value,dur_year,dur_month
0,2023-12-01 00:00:00.000000,300534.0,2023,12
1,2023-11-01 00:00:00.000000,286515.0,2023,11
2,2023-10-01 00:00:00.000000,278895.0,2023,10
3,2023-09-01 00:00:00.000000,308103.0,2023,09
4,2023-08-01 00:00:00.000000,290578.0,2023,08
5,2023-07-01 00:00:00.000000,261612.0,2023,07
6,2023-06-01 00:00:00.000000,324238.0,2023,06
7,2023-05-01 00:00:00.000000,288640.0,2023,05
8,2023-04-01 00:00:00.000000,272375.0,2023,04
9,2023-03-01 00:00:00.000000,312535.0,2023,03
10,2023-02-01 00:00:00.000000,256827.0,2023,02
11,2023-01-01 00:00:00.000000,254810.0,2023,01
12,2022-12-01 00:00:00.000000,290149.0,2022,12
13,2022-11-01 00:00:00.000000,260444.0,2022,11
14,2022-10-01 00:00:00.000000,276884.0,2022,10
15,2022-09-01 00:00:00.000000,291058.0,2022,09
16,2022-08-01 00:00:00.000000,282058.0,2022,08
17,2022-07-01 00:00:00.000000,254244.0,2022,07
18,2022-06-01 00:00:00.000000,297467.0,2022,06
19,2022-05-01 00:00:00.000000,268450.0,2022,05
20,2022-04-01 00:00:00.000000,265210.0,2022,04
21,2022-03-01 00:00:00.000000,298698.0,2022,03
22,2022-02-01 00:00:00.000000,256201.0,2022,02
23,2022-01-01 00:00:00.000000,249090.0,2022,01
24,2021-12-01 00:00:00.000000,277162.0,2021,12
25,2021-11-01 00:00:00.000000,252835.0,2021,11
26,2021-10-01 00:00:00.000000,255674.0,2021,10
27,2021-09-01 00:00:00.000000,267847.0,2021,09
28,2021-08-01 00:00:00.000000,261167.0,2021,08
29,2021-07-01 00:00:00.000000,236768.0,2021,07
30,2021-06-01 00:00:00.000000,270551.0,2021,06
31,2021-05-01 00:00:00.000000,243078.0,2021,05
32,2021-04-01 00:00:00.000000,243549.0,2021,04
33,2021-03-01 00:00:00.000000,274247.0,2021,03
34,2021-02-01 00:00:00.000000,233531.0,2021,02
35,2021-01-01 00:00:00.000000,220753.0,2021,01
36,2020-12-01 00:00:00.000000,242930.0,2020,12
37,2020-11-01 00:00:00.000000,220655.0,2020,11
38,2020-10-01 00:00:00.000000,233663.0,2020,10
39,2020-09-01 00:00:00.000000,238016.0,2020,09
40,2020-08-01 00:00:00.000000,221265.0,2020,08
41,2020-07-01 00:00:00.000000,206285.0,2020,07
42,2020-06-01 00:00:00.000000,214072.0,2020,06
43,2020-05-01 00:00:00.000000,175703.0,2020,05
44,2020-04-01 00:00:00.000000,157561.0,2020,04
45,2020-03-01 00:00:00.000000,220693.0,2020,03
46,2020-02-01 00:00:00.000000,227138.0,2020,02
47,2020-01-01 00:00:00.000000,213007.0,2020,01
48,2019-12-01 00:00:00.000000,221440.0,2019,12
49,2019-11-01 00:00:00.000000,204977.0,2019,11
50,2019-10-01 00:00:00.000000,227950.0,2019,10
51,2019-09-01 00:00:00.000000,230879.0,2019,09
52,2019-08-01 00:00:00.000000,230146.0,2019,08
53,2019-07-01 00:00:00.000000,210957.0,2019,07
54,2019-06-01 00:00:00.000000,233532.0,2019,06
55,2019-05-01 00:00:00.000000,222308.0,2019,05
56,2019-04-01 00:00:00.000000,223136.0,2019,04
57,2019-03-01 00:00:00.000000,256782.0,2019,03
58,2019-02-01 00:00:00.000000,213183.0,2019,02
59,2019-01-01 00:00:00.000000,212040.0,2019,01
60,2018-12-01 00:00:00.000000,244033.0,2018,12
61,2018-11-01 00:00:00.000000,228715.0,2018,11
62,2018-10-01 00:00:00.000000,241698.0,2018,10
63,2018-09-01 00:00:00.000000,250482.0,2018,09
64,2018-08-01 00:00:00.000000,251047.0,2018,08
65,2018-07-01 00:00:00.000000,215563.0,2018,07
66,2018-06-01 00:00:00.000000,261303.0,2018,06
67,2018-05-01 00:00:00.000000,241381.0,2018,05
68,2018-04-01 00:00:00.000000,232566.0,2018,04
69,2018-03-01 00:00:00.000000,267966.0,2018,03
70,2018-02-01 00:00:00.000000,220102.0,2018,02
71,2018-01-01 00:00:00.000000,204233.0,2018,01
72,2017-12-01 00:00:00.000000,245890.0,2017,12
73,2017-11-01 00:00:00.000000,227489.0,2017,11
74,2017-10-01 00:00:00.000000,228903.0,2017,10
75,2017-09-01 00:00:00.000000,238111.0,2017,09
76,2017-08-01 00:00:00.000000,226802.0,2017,08
77,2017-07-01 00:00:00.000000,198965.0,2017,07
78,2017-06-01 00:00:00.000000,260483.0,2017,06
79,2017-05-01 00:00:00.000000,221670.0,2017,05
80,2017-04-01 00:00:00.000000,211837.0,2017,04
81,2017-03-01 00:00:00.000000,250539.0,2017,03
82,2017-02-01 00:00:00.000000,207597.0,2017,02
83,2017-01-01 00:00:00.000000,192655.0,2017,01
84,2016-12-01 00:00:00.000000,229243.0,2016,12
85,2016-11-01 00:00:00.000000,213364.0,2016,11
86,2016-10-01 00:00:00.000000,231422.0,2016,10
87,2016-09-01 00:00:00.000000,230956.0,2016,09
88,2016-08-01 00:00:00.000000,221537.0,2016,08
89,2016-07-01 00:00:00.000000,197867.0,2016,07
90,2016-06-01 00:00:00.000000,230820.0,2016,06
91,2016-05-01 00:00:00.000000,217981.0,2016,05
92,2016-04-01 00:00:00.000000,221215.0,2016,04
93,2016-03-01 00:00:00.000000,243551.0,2016,03
94,2016-02-01 00:00:00.000000,211114.0,2016,02
95,2016-01-01 00:00:00.000000,199424.0,2016,01
96,2015-12-01 00:00:00.000000,230959.0,2015,12
97,2015-11-01 00:00:00.000000,216692.0,2015,11
98,2015-10-01 00:00:00.000000,228138.0,2015,10
99,2015-09-01 00:00:00.000000,231339.0,2015,09
100,2015-08-01 00:00:00.000000,218267.0,2015,08
101,2015-07-01 00:00:00.000000,216803.0,2015,07
102,2015-06-01 00:00:00.000000,252759.0,2015,06
103,2015-05-01 00:00:00.000000,211139.0,2015,05
104,2015-04-01 00:00:00.000000,220091.0,2015,04
105,2015-03-01 00:00:00.000000,249239.0,2015,03
106,2015-02-01 00:00:00.000000,206166.0,2015,02
107,2015-01-01 00:00:00.000000,200582.0,2015,01
108,2014-12-01 00:00:00.000000,240457.0,2014,12
109,2014-11-01 00:00:00.000000,216401.0,2014,11
110,2014-10-01 00:00:00.000000,238710.0,2014,10
111,2014-09-01 00:00:00.000000,249698.0,2014,09
112,2014-08-01 00:00:00.000000,231195.0,2014,08
113,2014-07-01 00:00:00.000000,286876.0,2014,07
114,2014-06-01 00:00:00.000000,257228.0,2014,06
115,2014-05-01 00:00:00.000000,231723.0,2014,05
116,2014-04-01 00:00:00.000000,231365.0,2014,04
117,2014-03-01 00:00:00.000000,251763.0,2014,03
118,2014-02-01 00:00:00.000000,221433.0,2014,02
119,2014-01-01 00:00:00.000000,203981.0,2014,01
120,2013-12-01 00:00:00.000000,250119.0,2013,12
121,2013-11-01 00:00:00.000000,233300.0,2013,11
122,2013-10-01 00:00:00.000000,236784.0,2013,10
123,2013-09-01 00:00:00.000000,248206.0,2013,09
124,2013-08-01 00:00:00.000000,224074.0,2013,08
125,2013-07-01 00:00:00.000000,208090.0,2013,07
126,2013-06-01 00:00:00.000000,260225.0,2013,06
127,2013-05-01 00:00:00.000000,238678.0,2013,05
128,2013-04-01 00:00:00.000000,221353.0,2013,04
129,2013-03-01 00:00:00.000000,232999.0,2013,03
130,2013-02-01 00:00:00.000000,225639.0,2013,02
131,2013-01-01 00:00:00.000000,204169.0,2013,01
132,2012-12-01 00:00:00.000000,239368.0,2012,12
133,2012-11-01 00:00:00.000000,209712.0,2012,11
134,2012-10-01 00:00:00.000000,222736.0,2012,10
