,date,infl_value,infl_year,infl_month
0,2023-12-01 00:00:00.000000,3.4,2023,12
1,2023-11-01 00:00:00.000000,3.1,2023,11
2,2023-10-01 00:00:00.000000,3.2,2023,10
3,2023-09-01 00:00:00.000000,3.7,2023,09
4,2023-08-01 00:00:00.000000,3.7,2023,08
5,2023-07-01 00:00:00.000000,3.2,2023,07
6,2023-06-01 00:00:00.000000,3.0,2023,06
7,2023-05-01 00:00:00.000000,4.0,2023,05
8,2023-04-01 00:00:00.000000,4.9,2023,04
9,2023-03-01 00:00:00.000000,5.0,2023,03
10,2023-02-01 00:00:00.000000,6.0,2023,02
11,2023-01-01 00:00:00.000000,6.4,2023,01
12,2022-12-01 00:00:00.000000,6.5,2022,12
13,2022-11-01 00:00:00.000000,7.1,2022,11
14,2022-10-01 00:00:00.000000,7.7,2022,10
15,2022-09-01 00:00:00.000000,8.2,2022,09
16,2022-08-01 00:00:00.000000,8.3,2022,08
17,2022-07-01 00:00:00.000000,8.5,2022,07
18,2022-06-01 00:00:00.000000,9.1,2022,06
19,2022-05-01 00:00:00.000000,8.6,2022,05
20,2022-04-01 00:00:00.000000,8.3,2022,04
21,2022-03-01 00:00:00.000000,8.5,2022,03
22,2022-02-01 00:00:00.000000,7.9,2022,02
23,2022-01-01 00:00:00.000000,7.5,2022,01
24,2021-12-01 00:00:00.000000,7.0,2021,12
25,2021-11-01 00:00:00.000000,6.8,2021,11
26,2021-10-01 00:00:00.000000,6.2,2021,10
27,2021-09-01 00:00:00.000000,5.4,2021,09
28,2021-08-01 00:00:00.000000,5.3,2021,08
29,2021-07-01 00:00:00.000000,5.4,2021,07
30,2021-06-01 00:00:00.000000,5.4,2021,06
31,2021-05-01 00:00:00.000000,5.0,2021,05
32,2021-04-01 00:00:00.000000,4.2,2021,04
33,2021-03-01 00:00:00.000000,2.6,2021,03
34,2021-02-01 00:00:00.000000,1.7,2021,02
35,2021-01-01 00:00:00.000000,1.4,2021,01
36,2020-12-01 00:00:00.000000,1.4,2020,12
37,2020-11-01 00:00:00.000000,1.2,2020,11
38,2020-10-01 00:00:00.000000,1.2,2020,10
39,2020-09-01 00:00:00.000000,1.4,2020,09
40,2020-08-01 00:00:00.000000,1.3,2020,08
41,2020-07-01 00:00:00.000000,1.0,2020,07
42,2020-06-01 00:00:00.000000,0.6,2020,06
43,2020-05-01 00:00:00.000000,0.1,2020,05
44,2020-04-01 00:00:00.000000,0.3,2020,04
45,2020-03-01 00:00:00.000000,1.5,2020,03
46,2020-02-01 00:00:00.000000,2.3,2020,02
