,date,retail_value,retail_year,retail_month
0,2024-01-01 00:00:00.000000,554784.0,2024,01
1,2023-12-01 00:00:00.000000,672967.0,2023,12
2,2023-11-01 00:00:00.000000,623010.0,2023,11
3,2023-10-01 00:00:00.000000,606718.0,2023,10
4,2023-09-01 00:00:00.000000,593695.0,2023,09
5,2023-08-01 00:00:00.000000,628192.0,2023,08
6,2023-07-01 00:00:00.000000,605403.0,2023,07
7,2023-06-01 00:00:00.000000,612243.0,2023,06
8,2023-05-01 00:00:00.000000,631496.0,2023,05
9,2023-04-01 00:00:00.000000,588220.0,2023,04
10,2023-03-01 00:00:00.000000,604084.0,2023,03
11,2023-02-01 00:00:00.000000,529374.0,2023,02
12,2023-01-01 00:00:00.000000,547156.0,2023,01
13,2022-12-01 00:00:00.000000,654825.0,2022,12
14,2022-11-01 00:00:00.000000,605205.0,2022,11
15,2022-10-01 00:00:00.000000,597170.0,2022,10
16,2022-09-01 00:00:00.000000,577966.0,2022,09
17,2022-08-01 00:00:00.000000,613508.0,2022,08
18,2022-07-01 00:00:00.000000,599929.0,2022,07
19,2022-06-01 00:00:00.000000,609743.0,2022,06
20,2022-05-01 00:00:00.000000,616626.0,2022,05
21,2022-04-01 00:00:00.000000,596690.0,2022,04
22,2022-03-01 00:00:00.000000,598541.0,2022,03
23,2022-02-01 00:00:00.000000,507901.0,2022,02
24,2022-01-01 00:00:00.000000,516923.0,2022,01
25,2021-12-01 00:00:00.000000,627113.0,2021,12
26,2021-11-01 00:00:00.000000,574978.0,2021,11
27,2021-10-01 00:00:00.000000,553588.0,2021,10
28,2021-09-01 00:00:00.000000,529133.0,2021,09
29,2021-08-01 00:00:00.000000,550169.0,2021,08
30,2021-07-01 00:00:00.000000,552179.0,2021,07
31,2021-06-01 00:00:00.000000,557446.0,2021,06
32,2021-05-01 00:00:00.000000,565177.0,2021,05
33,2021-04-01 00:00:00.000000,554269.0,2021,04
34,2021-03-01 00:00:00.000000,560218.0,2021,03
35,2021-02-01 00:00:00.000000,437031.0,2021,02
36,2021-01-01 00:00:00.000000,461308.0,2021,01
37,2020-12-01 00:00:00.000000,557696.0,2020,12
38,2020-11-01 00:00:00.000000,490941.0,2020,11
39,2020-10-01 00:00:00.000000,493601.0,2020,10
40,2020-09-01 00:00:00.000000,474038.0,2020,09
41,2020-08-01 00:00:00.000000,487325.0,2020,08
42,2020-07-01 00:00:00.000000,492689.0,2020,07
43,2020-06-01 00:00:00.000000,479784.0,2020,06
44,2020-05-01 00:00:00.000000,461785.0,2020,05
45,2020-04-01 00:00:00.000000,376867.0,2020,04
46,2020-03-01 00:00:00.000000,426258.0,2020,03
47,2020-02-01 00:00:00.000000,413923.0,2020,02
48,2020-01-01 00:00:00.000000,417123.0,2020,01
49,2019-12-01 00:00:00.000000,518979.0,2019,12
50,2019-11-01 00:00:00.000000,467189.0,2019,11
51,2019-10-01 00:00:00.000000,454941.0,2019,10
52,2019-09-01 00:00:00.000000,428241.0,2019,09
53,2019-08-01 00:00:00.000000,472517.0,2019,08
54,2019-07-01 00:00:00.000000,461010.0,2019,07
55,2019-06-01 00:00:00.000000,447578.0,2019,06
56,2019-05-01 00:00:00.000000,474963.0,2019,05
57,2019-04-01 00:00:00.000000,441878.0,2019,04
58,2019-03-01 00:00:00.000000,446272.0,2019,03
59,2019-02-01 00:00:00.000000,384243.0,2019,02
60,2019-01-01 00:00:00.000000,398783.0,2019,01
61,2018-12-01 00:00:00.000000,493167.0,2018,12
62,2018-11-01 00:00:00.000000,459172.0,2018,11
63,2018-10-01 00:00:00.000000,441746.0,2018,10
64,2018-09-01 00:00:00.000000,417072.0,2018,09
65,2018-08-01 00:00:00.000000,455946.0,2018,08
66,2018-07-01 00:00:00.000000,441604.0,2018,07
67,2018-06-01 00:00:00.000000,443603.0,2018,06
68,2018-05-01 00:00:00.000000,464101.0,2018,05
69,2018-04-01 00:00:00.000000,420099.0,2018,04
70,2018-03-01 00:00:00.000000,444873.0,2018,03
71,2018-02-01 00:00:00.000000,380562.0,2018,02
72,2018-01-01 00:00:00.000000,389703.0,2018,01
73,2017-12-01 00:00:00.000000,496745.0,2017,12
74,2017-11-01 00:00:00.000000,441923.0,2017,11
75,2017-10-01 00:00:00.000000,417753.0,2017,10
76,2017-09-01 00:00:00.000000,412522.0,2017,09
77,2017-08-01 00:00:00.000000,431797.0,2017,08
78,2017-07-01 00:00:00.000000,416908.0,2017,07
79,2017-06-01 00:00:00.000000,423071.0,2017,06
80,2017-05-01 00:00:00.000000,434511.0,2017,05
81,2017-04-01 00:00:00.000000,407256.0,2017,04
82,2017-03-01 00:00:00.000000,423016.0,2017,03
83,2017-02-01 00:00:00.000000,365610.0,2017,02
84,2017-01-01 00:00:00.000000,369102.0,2017,01
85,2016-12-01 00:00:00.000000,482011.0,2016,12
86,2016-11-01 00:00:00.000000,413933.0,2016,11
87,2016-10-01 00:00:00.000000,397425.0,2016,10
88,2016-09-01 00:00:00.000000,394237.0,2016,09
89,2016-08-01 00:00:00.000000,416538.0,2016,08
90,2016-07-01 00:00:00.000000,406013.0,2016,07
91,2016-06-01 00:00:00.000000,410100.0,2016,06
92,2016-05-01 00:00:00.000000,413059.0,2016,05
93,2016-04-01 00:00:00.000000,394764.0,2016,04
94,2016-03-01 00:00:00.000000,405012.0,2016,03
95,2016-02-01 00:00:00.000000,363543.0,2016,02
96,2016-01-01 00:00:00.000000,351787.0,2016,01
97,2015-12-01 00:00:00.000000,464014.0,2015,12
98,2015-11-01 00:00:00.000000,396067.0,2015,11
99,2015-10-01 00:00:00.000000,392602.0,2015,10
100,2015-09-01 00:00:00.000000,381996.0,2015,09
101,2015-08-01 00:00:00.000000,404923.0,2015,08
102,2015-07-01 00:00:00.000000,406550.0,2015,07
103,2015-06-01 00:00:00.000000,397809.0,2015,06
104,2015-05-01 00:00:00.000000,409453.0,2015,05
105,2015-04-01 00:00:00.000000,387358.0,2015,04
